rel_core_size,abs_core_size,time_ms
0.05,16301145,7.676069
0.05,16301145,13203.98538
0.05,16301145,12745.554122
0.05,16301145,37.236824
0.05,16301145,10375.076358999999
0.05,16301145,277.30134899999996
0.05,16301145,722.8107160000001
0.05,16301145,17.517545
0.05,16301145,12469.501041000001
0.05,16301145,11389.682454000002
0.05,16301145,11410.987736
0.05,16301145,12969.032244999999
0.05,16301145,2678.0546200000003
0.05,16301145,2182.333961
0.05,16301145,15653.360716
0.05,16301145,399.95278499999995
0.05,16301145,2299.362029
0.05,16301145,180.713637
0.05,16301145,13463.043356
0.05,16301145,82.344603
0.05,16301145,19272.322265
0.05,16301145,22.265512
0.05,16301145,11296.839515
0.05,16301145,543.766643
0.05,16301145,5174.690657
0.05,16301145,12083.884876
0.05,16301145,19.340841
0.05,16301145,18111.129661
0.05,16301145,3.900629
0.05,16301145,197.02352000000002
0.05,16301145,74.27902
0.05,16301145,19452.744488
0.05,16301145,2724.8522980000002
0.05,16301145,19.071382
0.05,16301145,14437.067503
0.05,16301145,98.596985
0.05,16301145,21756.229605
0.05,16301145,15017.902543
0.05,16301145,2.83115
0.05,16301145,13621.072591
0.05,16301145,4.830814999999999
0.05,16301145,14022.179015000002
0.05,16301145,2.2420750000000003
0.05,16301145,14163.076964
0.05,16301145,11044.655388000001
0.05,16301145,13435.901938
0.05,16301145,3439.986791
0.05,16301145,16044.628330999998
0.05,16301145,13326.018869
0.05,16301145,14260.846227
0.05,16301145,10.672133
0.05,16301145,971.394764
0.05,16301145,3.27172
0.05,16301145,14723.050593
0.05,16301145,11157.324449000002
0.05,16301145,14198.073275
0.05,16301145,136.384771
0.05,16301145,19867.18594
0.05,16301145,4.529181
0.05,16301145,2296.898664
0.05,16301145,15265.982985999999
0.05,16301145,13932.420848
0.05,16301145,46.405136999999996
0.05,16301145,16598.330686
0.05,16301145,18531.247713999997
0.05,16301145,18289.873876
0.05,16301145,12536.82913
0.05,16301145,13489.812561
0.05,16301145,203.824574
0.05,16301145,460.86127
0.05,16301145,59.195928
0.05,16301145,13382.731777
0.05,16301145,16066.013431999998
0.05,16301145,324.042822
0.05,16301145,3038.4159839999998
0.05,16301145,391.719596
0.05,16301145,1208.813761
0.05,16301145,15541.468228
0.05,16301145,7.667852
0.05,16301145,11515.069316
0.05,16301145,17092.484222
0.05,16301145,17545.603854
0.05,16301145,15619.188119
0.05,16301145,12768.229842
0.05,16301145,18143.944213000002
0.05,16301145,1799.7916950000001
0.05,16301145,11746.604292
0.05,16301145,1308.801222
0.05,16301145,10953.852445999999
0.05,16301145,16010.351127
0.05,16301145,142.494182
0.05,16301145,13070.470925
0.05,16301145,127.402667
0.05,16301145,80.039568
0.05,16301145,3011.133284
0.05,16301145,14.014776
0.05,16301145,17051.90555
0.05,16301145,232.408062
0.05,16301145,251.31443
0.05,16301145,11202.050091000001
0.05,16301145,31.077849
0.05,16301145,14993.873710999998
0.05,16301145,523.175033
0.05,16301145,18285.367645000002
0.05,16301145,12248.616544
0.05,16301145,13445.791264
0.05,16301145,183.125193
0.05,16301145,11954.002088
0.05,16301145,37.299693000000005
0.05,16301145,13341.622105
0.05,16301145,13533.829113
0.05,16301145,1832.929362
0.05,16301145,215.64181399999998
0.05,16301145,15168.401211
0.05,16301145,4180.192781
0.05,16301145,15380.193818
0.05,16301145,18215.840447000002
0.05,16301145,12242.722252
0.05,16301145,3.75456
0.05,16301145,12227.38823
0.05,16301145,7.429175
0.05,16301145,17978.48579
0.05,16301145,12459.618556000001
0.05,16301145,158.30576499999998
0.05,16301145,29.596974000000003
0.05,16301145,11668.990945000001
0.05,16301145,1978.162378
0.05,16301145,14231.918089
0.05,16301145,1099.406023
0.05,16301145,19665.796777
0.05,16301145,10641.930899
