rel_core_size,abs_core_size,time_ms
0.2,16301145,9.821335000000001
0.2,16301145,9.293972
0.2,16301145,10.459873
0.2,16301145,6.060153000000001
0.2,16301145,5.046551
0.2,16301145,7.821705
0.2,16301145,4.863993
0.2,16301145,3.906402
0.2,16301145,4.021799000000001
0.2,16301145,5.947487000000001
0.2,16301145,6.638304000000001
0.2,16301145,3.8760320000000004
0.2,16301145,5.73585
0.2,16301145,5.190959
0.2,16301145,6.0730070000000005
0.2,16301145,4.184181000000001
0.2,16301145,6.70325
0.2,16301145,3.3630169999999997
0.2,16301145,3.246821
0.2,16301145,5.125623999999999
0.2,16301145,5.409209
0.2,16301145,5.556704
0.2,16301145,2.470777
0.2,16301145,8.001975
0.2,16301145,5.395332
0.2,16301145,3.7505699999999997
0.2,16301145,4.295011
0.2,16301145,3.950751
0.2,16301145,5.180994
0.2,16301145,3.489168
0.2,16301145,3.461599
0.2,16301145,4.162977
0.2,16301145,3.971866
0.2,16301145,7.092376
0.2,16301145,4.729779
0.2,16301145,2.9480589999999998
0.2,16301145,4.5721490000000005
0.2,16301145,2.634361
0.2,16301145,5.392758
0.2,16301145,4.186204
0.2,16301145,3.714456
0.2,16301145,3.743673
0.2,16301145,2.518282
0.2,16301145,2.0331099999999998
0.2,16301145,3.9414230000000003
0.2,16301145,5.19006
0.2,16301145,2.837015
0.2,16301145,3.323729
0.2,16301145,2.217227
0.2,16301145,3.014346
0.2,16301145,3.85204
0.2,16301145,3.1018920000000003
0.2,16301145,3.022149
0.2,16301145,2.102054
0.2,16301145,2.2742560000000003
0.2,16301145,2.5610250000000003
0.2,16301145,4.438953
0.2,16301145,2.7293019999999997
0.2,16301145,1.778209
0.2,16301145,3.346724
0.2,16301145,4.764914999999999
0.2,16301145,3.011896
0.2,16301145,4.658042
0.2,16301145,2.522576
0.2,16301145,5.513577000000001
0.2,16301145,2.710829
0.2,16301145,4.14986
0.2,16301145,3.536407
0.2,16301145,3.7245690000000002
0.2,16301145,2.383453
0.2,16301145,2.1196129999999997
0.2,16301145,2.399858
0.2,16301145,1.9792019999999997
0.2,16301145,2.638643
0.2,16301145,4.206391
0.2,16301145,2.5337609999999997
0.2,16301145,2.3690209999999996
0.2,16301145,3.3127069999999996
0.2,16301145,4.212809
0.2,16301145,2.446204
0.2,16301145,2.082402
0.2,16301145,3.291651
0.2,16301145,2.070928
0.2,16301145,2.1825930000000002
0.2,16301145,2.8085269999999998
0.2,16301145,3.407207
0.2,16301145,2.165161
0.2,16301145,3.6777450000000003
0.2,16301145,4.208159
0.2,16301145,3.83906
0.2,16301145,3.5986019999999996
0.2,16301145,3.265764
0.2,16301145,2.697426
0.2,16301145,1.740027
