speed_cap_kmh,time_ms,path_distance
30,286.76624899999996,NaN
30,274.378107,NaN
30,14.865988999999999,NaN
30,233.050299,NaN
30,13.854623,NaN
30,229.061754,NaN
30,257.62434,NaN
30,49.967791999999996,176489064
30,16.937388000000002,NaN
30,255.974083,NaN
30,196.23602300000002,NaN
30,9.477513,NaN
30,151.86840500000002,NaN
30,232.956732,NaN
30,184.361536,NaN
30,11.978074,94744956
30,275.24128199999996,NaN
30,119.527547,NaN
30,187.93969199999998,NaN
30,11.429063,16125444
30,26.734853,NaN
30,55.485947,114275940
30,13.597101,107923830
30,10.657477,55162770
30,7.098334,NaN
30,127.29549100000001,210544608
30,9.753388,NaN
30,13.463151,NaN
30,166.16612999999998,NaN
30,23.294648000000002,135518316
30,253.56676700000003,NaN
30,239.95455900000002,NaN
30,12.712078,NaN
30,38.654828,146709384
30,11.207216,67109844
30,125.496321,NaN
30,161.224005,NaN
30,9.114936,NaN
30,9.849676,NaN
30,140.88230800000002,NaN
30,22.618819,NaN
30,235.66522,NaN
30,9.673174,NaN
30,267.950608,NaN
30,48.032711,122611680
30,155.815279,NaN
30,46.984311,132254970
30,184.20494300000001,NaN
30,192.77991699999998,257653944
30,179.92639899999998,NaN
30,268.169984,NaN
30,9.641551,50228658
30,202.601279,NaN
30,197.131264,NaN
30,20.546227000000002,72558294
30,116.84575699999999,NaN
30,196.214542,NaN
30,5.008889,92606712
30,278.55080799999996,NaN
30,6.311005,38285442
30,263.50457,NaN
30,179.996718,NaN
30,174.65947200000002,187518540
30,22.202831999999997,NaN
30,15.459547,NaN
30,237.617278,NaN
30,47.792076,139496430
30,186.496713,NaN
30,4.4663070000000005,NaN
30,269.04657100000003,NaN
30,12.000256,11380272
30,114.99103600000001,NaN
30,179.891269,NaN
30,146.625483,NaN
30,230.53442800000002,NaN
30,5.958095,NaN
30,229.07396999999997,NaN
30,25.579597999999997,140386164
30,8.591517999999999,NaN
30,13.241918,NaN
30,159.84404899999998,NaN
30,38.713367,183210870
30,9.379017999999999,134339596
30,11.921974,NaN
30,12.005478,74328312
30,129.728421,234888294
30,9.801865,NaN
30,4.62616,NaN
30,261.82941,NaN
30,61.301744,172119990
30,263.215691,NaN
30,189.94619300000002,NaN
30,153.329622,NaN
30,183.916802,NaN
30,20.980258000000003,NaN
30,225.824892,NaN
30,6.502041,NaN
30,8.1732,27077592
30,127.565436,291913164
30,11.258885999999999,95729088
30,120.51020199999999,NaN
30,266.58275199999997,NaN
30,188.793205,NaN
30,153.596279,NaN
30,263.613406,NaN
30,219.886013,NaN
30,5.183435,NaN
30,258.433893,NaN
30,262.406646,NaN
30,234.75928900000002,NaN
30,5.167576,NaN
30,11.634089,NaN
30,9.603461000000001,23146056
30,179.387244,NaN
30,250.655321,NaN
30,179.788274,NaN
30,214.28542000000002,NaN
30,5.092448,NaN
30,4.361033,NaN
30,25.708112000000003,85912680
30,18.163835,NaN
30,232.43176300000002,NaN
30,248.27042899999998,NaN
30,5.262198,NaN
30,161.773624,NaN
30,144.698262,NaN
30,118.596193,NaN
30,12.791327,59638638
30,8.027057000000001,NaN
30,10.944284999999999,33952494
30,15.434949999999999,NaN
30,9.226982999999999,55174038
30,9.971015,68808774
30,268.172353,272939148
30,46.765249000000004,172271274
30,7.492737,76689540
30,4.451855999999999,NaN
30,232.408219,NaN
30,53.923854,157986966
30,126.26815699999999,290034162
30,13.012322,NaN
30,13.273695,NaN
30,11.196451,101248068
30,3.880093,NaN
30,62.46118,183330372
30,4.378489,NaN
30,11.69367,NaN
30,20.67071,113434650
30,243.618429,NaN
30,5.642899,NaN
30,4.7939039999999995,NaN
30,43.089493,190098030
30,18.360874,154015632
30,14.007675,123659070
30,238.73877199999998,NaN
30,35.818894,143063562
30,185.286282,NaN
30,11.257088999999999,74897508
30,121.30324200000001,203206488
30,231.05373300000002,NaN
30,251.64473599999997,NaN
30,21.820523,120784386
30,147.414054,NaN
30,13.761657,NaN
30,155.092588,NaN
30,5.080958,NaN
30,12.605295,41923452
30,43.30202,NaN
30,30.665883,NaN
30,10.222318,68625894
30,107.813933,236230008
30,3.705815,NaN
30,76.196382,143509194
30,6.626558999999999,38460792
30,11.386225,NaN
30,13.254458,54186462
30,5.343617999999999,NaN
30,280.173848,NaN
30,220.086564,NaN
30,187.564976,NaN
30,198.088947,NaN
30,261.230319,NaN
30,238.85585,NaN
30,242.954268,NaN
30,87.860196,301021908
30,26.368997,90932154
30,74.364439,298241088
30,8.140183,54010050
30,4.822778,NaN
30,19.434610000000003,94641468
30,275.860079,NaN
30,4.654802,NaN
30,4.262314,NaN
30,255.209272,NaN
30,10.901996,NaN
30,10.456716,109921404
30,12.414055,131698308
30,35.402387,NaN
30,14.223947,NaN
30,235.656535,NaN
30,223.309553,NaN
30,243.47287500000002,NaN
30,62.236541,200166138
30,221.64689900000002,NaN
30,134.839907,NaN
30,10.740446,NaN
30,16.274243000000002,NaN
30,6.558040999999999,45426486
30,231.486896,NaN
30,9.96566,21914526
30,220.564974,NaN
30,13.244458,70650732
30,4.6773869999999995,NaN
30,11.987385,NaN
30,229.938707,NaN
30,3.2841530000000003,NaN
30,218.82524899999999,NaN
30,218.772517,NaN
30,76.124034,159187194
30,2.802701,NaN
30,30.463657,131786616
30,43.392706000000004,163059612
30,13.812905,NaN
30,128.394867,NaN
30,33.704348,NaN
30,18.771254000000003,166457904
30,48.212799000000004,160626774
30,248.936814,NaN
30,7.813622,9360000
30,12.479297,NaN
30,258.25676,NaN
30,234.446635,NaN
30,26.333642,NaN
30,2.2318759999999997,NaN
30,107.402493,219013518
30,4.768612,NaN
30,265.506559,NaN
30,33.677454000000004,NaN
30,199.970328,NaN
30,5.578011,NaN
30,12.352691,NaN
30,138.259814,NaN
30,13.502226,NaN
30,38.879072,131192844
30,12.485429,NaN
30,10.571718,NaN
30,37.10256,228971460
30,10.42462,NaN
30,10.586487,NaN
30,252.024988,NaN
30,32.391263,NaN
30,97.186694,NaN
30,5.581513,NaN
30,109.80588800000001,242725542
30,177.869868,NaN
30,15.233194000000001,NaN
30,272.066613,NaN
30,13.012017,NaN
30,39.630085,162916920
30,288.58599499999997,NaN
30,191.180607,NaN
30,184.47994400000002,NaN
30,248.398493,NaN
30,277.963011,NaN
30,3.122637,NaN
30,22.252696999999998,91527660
30,115.724773,NaN
30,15.383612,NaN
30,3.837817,NaN
30,160.016623,285182730
30,267.28104,NaN
30,281.328623,NaN
30,10.38541,NaN
30,10.226362,NaN
30,230.80013799999998,NaN
30,145.842507,NaN
30,46.557813,203859552
30,93.470529,219021336
30,12.468067,NaN
30,12.626422999999999,NaN
30,2.683701,NaN
30,14.886144999999999,NaN
30,21.241148000000003,68777262
30,10.610034,NaN
30,6.508314,102262860
30,18.022876,NaN
30,246.898202,NaN
30,6.0872269999999995,NaN
30,100.784575,171997752
30,62.234989999999996,133862244
30,8.401121,NaN
30,9.705288,46766610
30,19.959373,NaN
30,119.523979,NaN
30,5.622682,NaN
30,144.722539,NaN
30,16.187371,NaN
30,177.97923,NaN
30,95.280171,185964816
30,160.177323,247141326
30,12.593046,NaN
30,11.290583999999999,NaN
30,5.313270999999999,NaN
30,169.417271,NaN
30,91.076064,289579854
30,11.74833,56656434
30,118.31881,NaN
30,15.34733,NaN
30,235.705213,NaN
30,11.063087,73949076
30,8.468118,78009870
30,115.829273,NaN
30,269.57352099999997,NaN
30,56.151315,176874420
30,9.13127,27926616
30,31.869184,NaN
30,12.865385999999999,NaN
30,97.251572,259376004
30,211.902476,NaN
30,119.748127,NaN
30,7.368017,63510186
30,156.83857700000002,NaN
30,173.540469,NaN
30,124.95936400000001,NaN
30,3.236569,NaN
30,10.446087,60043722
30,8.234138999999999,NaN
30,272.968245,NaN
30,35.277575999999996,101340162
30,6.4733789999999996,35438178
30,4.323368,NaN
30,231.347882,NaN
30,184.33550100000002,NaN
30,219.449937,226102632
30,253.50255500000003,NaN
30,83.39021100000001,187764186
30,7.627084,NaN
30,257.614854,NaN
30,231.787598,NaN
30,7.358343,6057720
30,5.902147,NaN
30,29.306419,152681640
30,11.245068999999999,95514528
30,6.799203,NaN
30,3.897779,NaN
30,10.325016,47681184
30,9.37076,NaN
30,11.050778000000001,45055080
30,7.152626,NaN
30,2.581531,NaN
30,10.892299,NaN
30,199.79017,NaN
30,2.854749,NaN
30,35.789359,NaN
30,145.07486699999998,NaN
30,3.89473,NaN
30,18.004119,123965292
30,10.864859,35608860
30,12.607089,NaN
30,6.230577,NaN
30,277.229948,NaN
30,272.716897,NaN
30,16.804929,95357946
30,173.80315700000003,NaN
30,4.615443,NaN
30,237.624605,NaN
30,6.088131,NaN
30,18.608632,66637536
30,29.477052999999998,87909768
30,8.960106000000001,57287928
30,6.824664,NaN
30,26.421981000000002,123254682
30,5.065481999999999,NaN
30,234.50942999999998,NaN
30,13.343656000000001,NaN
30,283.305215,NaN
30,233.421279,NaN
30,5.723393000000001,NaN
30,13.625864,NaN
30,148.638679,231543222
30,190.720735,NaN
30,8.498053,87963858
30,6.339874,13470972
30,4.255139,NaN
30,12.622314000000001,NaN
30,16.670288,58654230
30,10.665785000000001,NaN
30,18.339789,119050872
30,255.59066600000003,NaN
30,11.54115,NaN
30,260.389798,NaN
30,175.159081,256885890
30,181.03845299999998,NaN
30,19.568258,95029782
30,9.939339,NaN
30,17.571816000000002,NaN
30,142.320062,NaN
30,33.969594,NaN
30,8.690646999999998,44128236
30,127.57411099999999,313427658
30,4.781599,NaN
30,39.048229,137816004
30,275.24886300000003,NaN
30,188.901555,NaN
30,13.07466,NaN
30,28.282163999999998,NaN
30,4.477285,NaN
30,17.468521,71644920
30,110.955916,281569818
30,227.905775,293563080
30,4.830139,NaN
30,3.773332,NaN
30,12.171871000000001,NaN
30,9.903764,NaN
30,6.383713,29464506
30,229.66951,NaN
30,4.312914,NaN
30,4.720325,NaN
30,4.975925,NaN
30,33.602853,112753944
30,10.245729,112194312
30,5.227324,NaN
30,205.313396,NaN
30,22.512076,NaN
30,150.94533399999997,NaN
30,253.79002899999998,NaN
30,14.330299,NaN
30,113.52024800000001,NaN
30,228.337404,NaN
30,87.92445000000001,195772242
30,12.557960999999999,NaN
30,7.790005,15371856
30,164.349872,384461502
30,15.251147,NaN
30,4.426874,NaN
30,9.309764,NaN
30,21.358403000000003,84437562
30,3.155892,NaN
30,197.11304800000002,NaN
30,16.937054,72597618
30,114.00727300000001,NaN
30,249.907135,NaN
30,6.606902,NaN
30,211.296491,311320692
30,189.74308100000002,NaN
30,9.522414999999999,72463812
30,259.621953,NaN
30,12.574424,NaN
30,14.6193,NaN
30,9.886894999999999,28511364
30,14.267541999999999,101954796
30,12.229379999999999,NaN
30,43.06201,NaN
30,184.832559,NaN
30,12.502433,NaN
30,121.276351,NaN
30,18.237123,102210528
30,4.4907449999999995,NaN
30,219.45789,NaN
30,187.27038,NaN
30,5.580203,NaN
30,199.10129500000002,NaN
30,252.351691,NaN
30,3.330244,NaN
30,7.558695,23734440
30,38.360743,179486070
30,6.4213320000000005,64688532
30,33.054269999999995,NaN
30,185.674194,NaN
30,12.568887,NaN
30,232.644069,265309254
30,236.886747,NaN
30,123.488595,NaN
30,8.195438,NaN
30,6.769736999999999,NaN
30,18.645094,NaN
30,4.687285,NaN
30,5.328785,NaN
30,15.777393,NaN
30,265.77915,NaN
30,8.589312,NaN
30,13.43657,NaN
30,203.13183600000002,261057276
30,240.902637,NaN
30,8.930429,179733696
30,122.353717,NaN
30,261.425344,NaN
30,6.247395999999999,6002388
30,8.88978,NaN
