algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_bidir_chpot,81505729,189837356,534,414,534,0,414,4.913026,4192456,413,0,0,0
core_ch,81505729,189837356,534,414,534,0,414,28.908914,4192456,413,0,0,0
core_ch_chpot,81505729,189837356,534,414,534,0,414,6.855356,4192456,413,0,0,0
astar_chpot,81505729,189837356,912862,964762,1044317,125,872637,714.627918,140303980,5247,9,4,2
astar_bidir_chpot,81505729,189837356,912862,964762,1044317,125,872637,149961.257542,140303980,5247,9,4,2
core_ch,81505729,189837356,912862,964762,1044317,125,872637,1156.443461,129126250,5247,9,4,2
core_ch_chpot,81505729,189837356,912862,964762,1044317,125,872637,75.27832,129126250,5247,9,4,2
astar_chpot,81505729,189837356,33937,29390,36145,71,27278,198.89384600000002,37501765,2687,6,2,0
astar_bidir_chpot,81505729,189837356,33937,29390,36145,71,27278,79.183547,37501765,2687,6,2,0
core_ch,81505729,189837356,33937,29390,36145,71,27278,589.006814,37436325,2687,6,2,0
core_ch_chpot,81505729,189837356,33937,29390,36145,71,27278,25.363028,37436325,2687,6,2,0
astar_chpot,81505729,189837356,4249630,6434717,7156922,470,2493063,6361.238659,82040402,2209,7,3,1
astar_bidir_chpot,81505729,189837356,4249630,6434717,7156922,470,2493063,11139.132624,82040402,2209,7,3,1
core_ch,81505729,189837356,4249630,6434717,7156922,470,2493063,398.947856,80845220,2209,7,3,1
core_ch_chpot,81505729,189837356,4249630,6434717,7156922,470,2493063,12.821549,80845220,2209,7,3,1
astar_chpot,81505729,189837356,2350,1556,2379,0,1556,3.306312,15192413,1556,0,0,0
astar_bidir_chpot,81505729,189837356,2350,1556,2379,0,1556,5.882083,15192413,1556,0,0,0
core_ch,81505729,189837356,2350,1556,2379,0,1556,21.599325999999998,15192413,1556,0,0,0
core_ch_chpot,81505729,189837356,2350,1556,2379,0,1556,6.591602,15192413,1556,0,0,0
astar_chpot,81505729,189837356,55929,56815,68596,859,15206,170.75103,89433139,3386,5,3,1
astar_bidir_chpot,81505729,189837356,55929,56815,68596,859,15206,45.170035999999996,89433139,3386,5,3,1
core_ch,81505729,189837356,55929,56815,68596,859,15206,1086.606349,89316787,3386,5,3,1
core_ch_chpot,81505729,189837356,55929,56815,68596,859,15206,18.590852,89316787,3386,5,3,1
astar_chpot,81505729,189837356,21742,21353,25044,60,7972,20.20565,71614897,2445,5,2,1
astar_bidir_chpot,81505729,189837356,21742,21353,25044,60,7972,157.83243299999998,71614897,2445,5,2,1
core_ch,81505729,189837356,21742,21353,25044,60,7972,928.947219,72003513,2445,5,2,1
core_ch_chpot,81505729,189837356,21742,21353,25044,60,7972,19.287955,72003513,2445,5,2,1
astar_chpot,81505729,189837356,164288,188534,221963,478,122030,163.61652099999998,99252408,4108,5,3,1
astar_bidir_chpot,81505729,189837356,164288,188534,221963,478,122030,1213.499112,99252408,4108,5,3,1
core_ch,81505729,189837356,164288,188534,221963,478,122030,1037.301118,98936533,4108,5,3,1
core_ch_chpot,81505729,189837356,164288,188534,221963,478,122030,23.22331,99233281,4108,5,3,1
astar_chpot,81505729,189837356,2,2,1,0,2,0.669995,NaN,NaN,NaN,NaN,NaN
astar_bidir_chpot,81505729,189837356,2,2,1,0,2,4.075336,NaN,NaN,NaN,NaN,NaN
core_ch,81505729,189837356,2,2,1,0,2,1011.8244780000001,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,2,2,1,0,2,3.23984,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,11677753,17408879,19224343,2482,3732995,22438.325437,93313681,2647,6,4,1
astar_bidir_chpot,81505729,189837356,11677753,17408879,19224343,2482,3732995,27798.425174999997,93313681,2647,6,4,1
