algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
dijkstra,12547874,29477659,38479912,46942733,50558754,8000,9093426,72137.789225,19696524,1584,4,1,0
astar_chpot,12547874,29477659,8206,6351,8474,6,5821,8.097339999999999,19696524,1584,4,1,0
dijkstra_bidir_chpot,12547874,29477659,38479912,46942733,50558754,8000,9093426,15118.255291000001,19696524,1584,4,1,0
astar_bidir_chpot,12547874,29477659,8206,6351,8474,6,5821,17.081814,19696524,1584,4,1,0
core_ch,12547874,29477659,8206,6351,8474,6,5821,193.12157599999998,19696524,1584,4,1,0
core_ch_chpot,12547874,29477659,8206,6351,8474,6,5821,3.675193,19696524,1584,4,1,0
dijkstra,12547874,29477659,65983,64655,71747,21,64655,42.567169,1388548,164,0,0,0
astar_chpot,12547874,29477659,265,164,267,0,164,0.723376,1388548,164,0,0,0
dijkstra_bidir_chpot,12547874,29477659,65983,64655,71747,21,64655,7.499843,1388548,164,0,0,0
astar_bidir_chpot,12547874,29477659,265,164,267,0,164,1.96868,1388548,164,0,0,0
core_ch,12547874,29477659,265,164,267,0,164,0.937106,1388548,164,0,0,0
core_ch_chpot,12547874,29477659,265,164,267,0,164,0.9076139999999999,1388548,164,0,0,0
dijkstra,12547874,29477659,11269232,13243333,14434206,2840,5630822,18898.527605,9421526,1087,0,0,0
astar_chpot,12547874,29477659,1479,1087,1494,5,1087,2.4176480000000002,9421526,1087,0,0,0
dijkstra_bidir_chpot,12547874,29477659,11269232,13243333,14434206,2840,5630822,1835.3592330000001,9421526,1087,0,0,0
astar_bidir_chpot,12547874,29477659,1479,1087,1494,5,1087,3.734327,9421526,1087,0,0,0
core_ch,12547874,29477659,1479,1087,1494,5,1087,118.06474999999999,9421526,1087,0,0,0
core_ch_chpot,12547874,29477659,1479,1087,1494,5,1087,6.307384,9421526,1087,0,0,0
