algo,time_ms,path_distance
core_ch_chpot,3.249933,NaN
core_ch,27.967025,92216430
core_ch_chpot,5.483619,92216430
core_ch,4.217238,NaN
core_ch_chpot,6.056878,NaN
core_ch,20.843671,NaN
core_ch_chpot,31.827624,NaN
core_ch,12.550969,NaN
core_ch_chpot,21.491203,NaN
core_ch,26.570605,NaN
core_ch_chpot,39.435323000000004,NaN
core_ch,34.035908,77200886
core_ch_chpot,9.344648000000001,77200886
core_ch,9.016625000000001,14797134
core_ch_chpot,4.858244,14797134
core_ch,28.747704,NaN
core_ch_chpot,41.679976,NaN
core_ch,36.351618,151861022
core_ch_chpot,12.042714,151861022
core_ch,29.877552,96839544
core_ch_chpot,6.633089,96839544
core_ch,29.368512,82552347
core_ch_chpot,9.085163999999999,82278983
core_ch,33.09749,169233320
core_ch_chpot,17.246088,169233320
core_ch,27.535315,NaN
core_ch_chpot,39.82972,NaN
core_ch,25.164953,78694344
core_ch_chpot,5.7775170000000005,78676366
core_ch,25.792863999999998,102529336
core_ch_chpot,9.562294000000001,102529336
core_ch,14.038738,NaN
core_ch_chpot,22.945838,NaN
core_ch,1.978335,NaN
core_ch_chpot,1.458782,NaN
core_ch,16.850172999999998,NaN
core_ch_chpot,1.9253770000000001,NaN
core_ch,28.602412,NaN
core_ch_chpot,40.77703399999999,NaN
core_ch,2.4958229999999997,84497995
core_ch_chpot,3.9375169999999997,84497995
core_ch,17.817375,24251594
core_ch_chpot,7.6488629999999995,24251594
core_ch,1.5639180000000001,NaN
core_ch_chpot,3.233822,NaN
core_ch,7.964388,10397532
core_ch_chpot,4.936994,10397532
core_ch,5.5826579999999995,9647751
core_ch_chpot,3.528428,9647751
core_ch,29.217404,NaN
core_ch_chpot,2.142725,NaN
core_ch,24.571788,212078890
core_ch_chpot,15.423663000000001,212078890
core_ch,13.665972,28821113
core_ch_chpot,3.381808,28821113
core_ch,21.762215,183867685
core_ch_chpot,13.115725,183867685
core_ch,6.996268,NaN
core_ch_chpot,14.006,NaN
core_ch,26.474391,294386235
core_ch_chpot,35.743516,294386235
core_ch,42.152826,151340846
core_ch_chpot,17.827330999999997,151340846
core_ch,33.940642,89168069
core_ch_chpot,15.652,89168069
core_ch,26.912136,152644450
core_ch_chpot,15.971540999999998,152644450
core_ch,26.754268,79322931
core_ch_chpot,7.691174,79322931
core_ch,21.146373,NaN
core_ch_chpot,32.339121,NaN
core_ch,25.075645,NaN
core_ch_chpot,37.601959,NaN
core_ch,26.65944,242523145
core_ch_chpot,30.823508,242523145
core_ch,17.653635,78001203
core_ch_chpot,4.188185,78001203
core_ch,13.687553999999999,NaN
core_ch_chpot,22.370379999999997,NaN
core_ch,14.266646,33753627
core_ch_chpot,8.151632000000001,32134868
core_ch,26.853355,NaN
core_ch_chpot,38.318623,NaN
core_ch,2.9493319999999996,21182015
core_ch_chpot,2.772914,21182015
core_ch,26.551776,NaN
core_ch_chpot,2.447406,NaN
core_ch,21.184808999999998,NaN
core_ch_chpot,31.567314999999997,NaN
core_ch,3.336958,NaN
core_ch_chpot,5.4439470000000005,NaN
core_ch,3.952057,14362248
core_ch_chpot,2.8368349999999998,14362248
core_ch,8.727294,NaN
core_ch_chpot,15.422625,NaN
core_ch,24.005118,NaN
core_ch_chpot,35.353475,NaN
core_ch,25.866407000000002,NaN
core_ch_chpot,37.188269000000005,NaN
core_ch,40.575741,164192101
core_ch_chpot,14.592654,164192101
core_ch,28.240019,235029124
core_ch_chpot,29.982142,235029124
core_ch,19.412335,NaN
core_ch_chpot,2.252447,NaN
core_ch,26.09853,145454472
core_ch_chpot,17.217146,145454472
core_ch,26.629272999999998,77349202
core_ch_chpot,7.101732,77349202
core_ch,14.492279,102482959
core_ch_chpot,4.452391,102482959
core_ch,27.445185000000002,NaN
core_ch_chpot,39.639585999999994,NaN
core_ch,30.748842,NaN
core_ch_chpot,44.216559000000004,NaN
core_ch,24.909545,NaN
core_ch_chpot,36.986475,NaN
core_ch,26.811495,105562389
core_ch_chpot,7.404448,105562389
core_ch,5.15482,94921587
core_ch_chpot,2.590682,94921587
core_ch,25.679267,NaN
core_ch_chpot,36.356263999999996,NaN
core_ch,3.92582,NaN
core_ch_chpot,5.944609,NaN
core_ch,9.765229,NaN
core_ch_chpot,19.565326000000002,NaN
core_ch,29.290112999999998,93676916
core_ch_chpot,7.498583,93676916
core_ch,25.214151,NaN
core_ch_chpot,37.616547,NaN
core_ch,36.459807,91862679
core_ch_chpot,8.801483000000001,91862679
core_ch,19.063734999999998,215939330
core_ch_chpot,6.47536,215939330
core_ch,13.600092,76693727
core_ch_chpot,3.290407,76693727
core_ch,22.208289,79733248
core_ch_chpot,6.988936000000001,79733248
core_ch,1.7311539999999999,21393504
core_ch_chpot,2.003874,21393504
core_ch,21.292812,NaN
core_ch_chpot,32.138317,NaN
core_ch,23.228686,344434320
core_ch_chpot,34.5203,344434320
core_ch,30.294484,79446062
core_ch_chpot,8.318884,79446062
core_ch,4.708706,NaN
core_ch_chpot,7.321217,NaN
core_ch,4.081914,9415422
core_ch_chpot,3.246951,9415422
core_ch,17.889692,NaN
core_ch_chpot,28.484513999999997,NaN
core_ch,21.946185,145860972
core_ch_chpot,12.787457999999999,146153997
core_ch,3.808583,NaN
core_ch_chpot,1.889319,NaN
core_ch,23.935111,NaN
core_ch_chpot,36.12919,NaN
core_ch,27.361787,240873518
