algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,7,81505729,189837356,24,13,24,0,13,0.15523199999999998,214182,13,0,0,0
astar_chpot,8,81505729,189837356,33,19,32,0,19,0.46887300000000004,255294,19,0,0,0
astar_chpot,9,81505729,189837356,69,35,68,0,35,0.7288330000000001,303054,35,0,0,0
astar_chpot,10,81505729,189837356,81,46,81,0,46,0.47783800000000004,361707,46,0,0,0
astar_chpot,11,81505729,189837356,86,53,86,0,53,0.309116,442439,53,0,0,0
astar_chpot,12,81505729,189837356,218,107,218,0,107,0.304546,530124,107,0,0,0
astar_chpot,13,81505729,189837356,153,90,156,0,90,0.7887270000000001,658267,90,0,0,0
astar_chpot,14,81505729,189837356,213,125,219,0,125,0.7193259999999999,834677,125,0,0,0
astar_chpot,15,81505729,189837356,205,121,209,0,121,0.304191,1050205,121,0,0,0
astar_chpot,16,81505729,189837356,275,153,278,0,153,1.340545,1550509,153,0,0,0
astar_chpot,17,81505729,189837356,312,199,317,0,199,0.704765,2377312,199,0,0,0
astar_chpot,18,81505729,189837356,389,252,396,0,252,0.639159,3691485,252,0,0,0
astar_chpot,19,81505729,189837356,655,449,660,0,449,1.573237,7868204,449,0,0,0
astar_chpot,20,81505729,189837356,552,422,559,0,422,1.381467,14833805,422,0,0,0
astar_chpot,21,81505729,189837356,2087,1525,2155,6,1293,1.7364940000000002,25995205,1196,1,1,0
astar_chpot,22,81505729,189837356,6337541,8297413,9274586,91,2808991,6778.490182,NaN,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,6743029,8297413,9275446,91,2808991,7202.429738,NaN,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,5768151,8297413,9275243,91,2808991,6588.942959,NaN,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,6679937,8297413,9275209,91,2808991,7445.3978290000005,NaN,NaN,NaN,NaN,NaN
astar_chpot,0,81505729,189837356,4,1,3,0,1,0.281622,0,1,0,0,0
astar_chpot,1,81505729,189837356,5,2,4,0,2,0.125695,1296,2,0,0,0
astar_chpot,2,81505729,189837356,8,3,7,0,3,0.270965,8064,3,0,0,0
astar_chpot,3,81505729,189837356,5,2,4,0,2,0.125519,19152,2,0,0,0
astar_chpot,4,81505729,189837356,12,5,11,0,5,0.146399,31104,5,0,0,0
astar_chpot,5,81505729,189837356,14,6,13,0,6,0.129973,44208,6,0,0,0
astar_chpot,6,81505729,189837356,20,9,19,0,9,0.138307,61056,9,0,0,0
astar_chpot,7,81505729,189837356,23,10,22,0,10,0.134151,78624,10,0,0,0
astar_chpot,8,81505729,189837356,39,19,39,0,19,0.15597000000000003,108720,19,0,0,0
astar_chpot,9,81505729,189837356,69,32,68,0,32,0.30655299999999996,168408,32,0,0,0
astar_chpot,10,81505729,189837356,84,42,83,0,42,0.456718,232945,42,0,0,0
astar_chpot,11,81505729,189837356,125,64,125,0,64,0.472711,304426,64,0,0,0
astar_chpot,12,81505729,189837356,193,103,194,0,103,0.786474,635057,103,0,0,0
astar_chpot,13,81505729,189837356,358,194,360,0,194,1.38442,1510852,194,0,0,0
astar_chpot,14,81505729,189837356,415,223,417,0,223,1.4268779999999999,2612110,223,0,0,0
