algo,time_ms,path_distance
core_ch_chpot,7.8273909999999995,79621938
core_ch,2.4332999999999996,NaN
core_ch_chpot,3.451897,NaN
core_ch,32.316978000000006,92474749
core_ch_chpot,7.586334,92254829
core_ch,31.176601,83802532
core_ch_chpot,8.759271,83802532
core_ch,11.851083000000001,NaN
core_ch_chpot,20.096830999999998,NaN
core_ch,10.350319,14449154
core_ch_chpot,4.3674100000000005,14449154
core_ch,12.806823999999999,14194490
core_ch_chpot,4.391003,14194490
core_ch,15.065873,94975732
core_ch_chpot,7.700845,94975732
core_ch,32.282109000000005,147868410
core_ch_chpot,9.043744,147868410
core_ch,23.993904,NaN
core_ch_chpot,35.625677,NaN
core_ch,35.005687,150387446
core_ch_chpot,11.307247,150387446
core_ch,20.221666,79218552
core_ch_chpot,3.817501,79218552
core_ch,13.319595999999999,31349507
core_ch_chpot,5.149198,31349507
core_ch,11.420969,NaN
core_ch_chpot,19.733969000000002,NaN
core_ch,29.304593999999998,84116586
core_ch_chpot,7.934963,84116586
core_ch,14.521908,NaN
core_ch_chpot,23.673605000000002,NaN
core_ch,8.241984,10351771
core_ch_chpot,4.023471,10351771
core_ch,38.960262,NaN
core_ch_chpot,54.591457000000005,NaN
core_ch,4.161269000000001,91896478
core_ch_chpot,2.791612,91896478
core_ch,10.864586000000001,NaN
core_ch_chpot,19.786514,NaN
core_ch,27.251676,NaN
core_ch_chpot,40.760137,NaN
core_ch,33.805937,78214607
core_ch_chpot,5.005751,77124962
core_ch,34.806036999999996,83302020
core_ch_chpot,8.726621,83302020
core_ch,5.335643999999999,26014027
core_ch_chpot,2.9659429999999998,26014027
core_ch,18.675776000000003,NaN
core_ch_chpot,29.177148,NaN
core_ch,34.329502,76566587
core_ch_chpot,8.395542,76566587
core_ch,11.055232,14567005
core_ch_chpot,4.171111,14567005
core_ch,11.695801000000001,15493047
core_ch_chpot,4.1046499999999995,15493047
core_ch,11.456755000000001,NaN
core_ch_chpot,19.452224,NaN
core_ch,1.8534059999999999,NaN
core_ch_chpot,2.6604620000000003,NaN
core_ch,16.477767,31203770
core_ch_chpot,7.1293,31203770
core_ch,26.903786,82409963
core_ch_chpot,6.407489,82409963
core_ch,28.863896999999998,NaN
core_ch_chpot,42.706116,NaN
core_ch,1.6521400000000002,NaN
core_ch_chpot,1.9826039999999998,NaN
core_ch,2.077739,NaN
core_ch_chpot,3.3506460000000002,NaN
core_ch,14.126484999999999,NaN
core_ch_chpot,22.868067,NaN
core_ch,21.980948,31066266
core_ch_chpot,11.16164,30764767
core_ch,12.000472,88646268
core_ch_chpot,3.758653,88646268
core_ch,15.814313,NaN
core_ch_chpot,25.336918,NaN
core_ch,31.237772,77489107
core_ch_chpot,7.629093,77489107
core_ch,25.31852,NaN
core_ch_chpot,1.8297020000000002,NaN
core_ch,14.933683,30286377
core_ch_chpot,5.653473,30286377
core_ch,32.508682,109761957
core_ch_chpot,13.2292,109731647
core_ch,16.616927999999998,27569296
core_ch_chpot,6.445352,25786737
core_ch,8.87152,NaN
core_ch_chpot,16.355436,NaN
core_ch,27.544297999999998,NaN
core_ch_chpot,41.585965,NaN
core_ch,11.890253,12585159
core_ch_chpot,6.618094,12585159
core_ch,29.883917,NaN
core_ch_chpot,43.353796,NaN
core_ch,15.413006999999999,NaN
core_ch_chpot,24.397178,NaN
core_ch,19.941035,NaN
core_ch_chpot,31.058992,NaN
core_ch,32.097342,143386435
core_ch_chpot,17.433201,143386435
core_ch,26.706355000000002,110026338
core_ch_chpot,6.512938999999999,110026338
core_ch,13.296438,30486540
core_ch_chpot,6.711774999999999,30140690
core_ch,24.668356999999997,NaN
core_ch_chpot,37.430794000000006,NaN
core_ch,45.248323,143361363
core_ch_chpot,13.264085,143361363
core_ch,35.566272000000005,146815425
core_ch_chpot,15.016808,146815425
core_ch,22.996996,NaN
core_ch_chpot,34.244415000000004,NaN
core_ch,29.333479,NaN
core_ch_chpot,42.835415000000005,NaN
core_ch,13.030567999999999,20331348
