algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,12547874,29477659,1,1,0,0,1,0.627732,NaN,NaN,NaN,NaN,NaN
astar_chpot,12547874,29477659,1805,1569,1857,11,1414,1.651763,19108834,1389,5,1,0
astar_chpot,12547874,29477659,1201,1013,1217,4,1013,1.171662,10992789,1013,0,0,0
astar_chpot,12547874,29477659,1613,1399,1615,1,1399,1.609613,14651590,1399,0,0,0
astar_chpot,12547874,29477659,2306,1986,2362,9,1614,2.132266,20601848,1597,5,1,0
astar_chpot,12547874,29477659,5411,4649,5503,1,3483,3.605408,20271494,1680,1,1,0
astar_chpot,12547874,29477659,1441,1240,1459,7,1240,1.5110379999999999,13242731,1233,0,0,0
astar_chpot,12547874,29477659,1106,820,1114,0,820,1.323996,6741418,820,0,0,0
astar_chpot,12547874,29477659,1583,1199,1628,2,1199,1.483168,12381904,1199,0,0,0
astar_chpot,12547874,29477659,3368,2808,3444,6,2706,2.583574,20320943,1584,2,1,0
astar_chpot,12547874,29477659,1064,835,1067,0,835,1.056435,9544716,835,0,0,0
astar_chpot,12547874,29477659,10373,8375,10714,17,7883,6.825381,29162773,2339,3,1,0
astar_chpot,12547874,29477659,1916,1423,1935,0,1423,2.344909,10666270,1423,0,0,0
astar_chpot,12547874,29477659,3864,3409,3931,5,2719,2.708218,20690830,1740,1,1,0
astar_chpot,12547874,29477659,1322,1018,1342,1,1018,1.38875,9705843,1018,0,0,0
astar_chpot,12547874,29477659,491,401,492,0,401,0.5715,3858302,401,0,0,0
astar_chpot,12547874,29477659,2156,1888,2197,12,1704,1.616796,21907252,1578,4,1,0
astar_chpot,12547874,29477659,1697,1226,1719,0,1226,1.5067979999999999,10502433,1226,0,0,0
astar_chpot,12547874,29477659,1147,990,1148,0,990,1.2118120000000001,10965392,990,0,0,0
astar_chpot,12547874,29477659,1011,739,1022,0,739,1.2552990000000002,8011148,739,0,0,0
astar_chpot,12547874,29477659,1831,1547,1835,1,1547,1.560389,15514210,1547,0,0,0
astar_chpot,12547874,29477659,5167,4253,5306,2,3478,3.634042,25278367,2183,1,1,0
astar_chpot,12547874,29477659,1620,1338,1632,3,1338,1.558307,12637054,1338,0,0,0
astar_chpot,12547874,29477659,1240,1021,1245,1,1021,1.2798289999999999,11990272,1021,0,0,0
astar_chpot,12547874,29477659,1390,1097,1418,7,1097,1.310708,9813227,1090,3,0,0
astar_chpot,12547874,29477659,692,579,704,0,579,0.810437,6781434,579,0,0,0
astar_chpot,12547874,29477659,1232,927,1250,3,927,1.128275,8965243,927,0,0,0
astar_chpot,12547874,29477659,1505,1309,1506,0,1309,1.3612769999999998,14545141,1309,0,0,0
astar_chpot,12547874,29477659,1110,842,1115,1,842,1.035593,8386357,834,0,0,0
astar_chpot,12547874,29477659,1152,803,1156,0,803,1.1219540000000001,6096373,803,0,0,0
astar_chpot,12547874,29477659,2404,1935,2478,11,1778,1.881625,19192930,1718,5,1,0
astar_chpot,12547874,29477659,1084,772,1091,0,772,1.042578,7512877,772,0,0,0
astar_chpot,12547874,29477659,2440,1966,2456,1,1966,1.992104,16110205,1966,0,0,0
astar_chpot,12547874,29477659,1553,1189,1572,3,1189,1.484663,9070108,1189,0,0,0
astar_chpot,12547874,29477659,1,1,0,0,1,0.157183,NaN,NaN,NaN,NaN,NaN
