algo,time_ms,max_driving_time
core_ch,1.641146,1500000
core_ch_chpot,5.24308,1500000
core_ch,2.302742,1500000
core_ch_chpot,10.866209,1500000
core_ch,4.516541,1500000
core_ch_chpot,14.406107,1500000
core_ch,3.213948,1500000
core_ch_chpot,12.210268999999998,1500000
core_ch,3.3660140000000003,1500000
core_ch_chpot,11.121513,1500000
core_ch,3.4044779999999997,1500000
core_ch_chpot,8.690563000000001,1500000
core_ch,3.1054250000000003,1500000
core_ch_chpot,12.258899,1500000
core_ch,2.244296,1500000
core_ch_chpot,4.6564939999999995,1500000
core_ch,2.2399910000000003,1500000
core_ch_chpot,7.702217,1500000
core_ch,2.4436430000000002,1500000
core_ch_chpot,5.8086079999999995,1500000
core_ch,1.881132,1500000
core_ch_chpot,4.619445,1500000
core_ch,2.0887599999999997,1500000
core_ch_chpot,5.094243,1500000
core_ch,2.535492,1500000
core_ch_chpot,6.061853,1500000
core_ch,2.531756,1500000
core_ch_chpot,7.523954,1500000
core_ch,2.357789,1500000
core_ch_chpot,6.997081,1500000
core_ch,2.757335,1500000
core_ch_chpot,5.836042,1500000
core_ch,1.887383,1500000
core_ch_chpot,4.542006000000001,1500000
core_ch,2.50265,1500000
core_ch_chpot,5.992761,1500000
core_ch,2.522714,1500000
core_ch_chpot,5.088096999999999,1500000
core_ch,1.8698219999999999,1500000
core_ch_chpot,3.128326,1500000
core_ch,2.438005,1500000
core_ch_chpot,6.078570999999999,1500000
core_ch,3.3220799999999997,1500000
core_ch_chpot,11.574574,1500000
core_ch,2.668946,1500000
core_ch_chpot,6.7322679999999995,1500000
core_ch,2.046303,1500000
core_ch_chpot,4.41383,1500000
core_ch,2.51986,1500000
core_ch_chpot,6.357991999999999,1500000
core_ch,2.240776,1500000
core_ch_chpot,5.878405,1500000
core_ch,1.915088,1500000
core_ch_chpot,4.51377,1500000
core_ch,3.328338,1500000
core_ch_chpot,6.261907,1500000
core_ch,1.841071,1500000
core_ch_chpot,4.189862,1500000
core_ch,2.5014540000000003,1500000
core_ch_chpot,6.174996,1500000
core_ch,1.8310710000000001,1500000
core_ch_chpot,3.9059440000000003,1500000
core_ch,1.931546,1500000
core_ch_chpot,3.415922,1500000
core_ch,1.831966,1500000
core_ch_chpot,11.146243,1500000
