algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,8,81505729,189837356,44,22,43,0,22,0.119904,87134,22,0,0
astar_chpot,9,81505729,189837356,63,31,62,0,31,0.127749,113527,31,0,0
astar_chpot,10,81505729,189837356,51,25,50,0,25,0.410283,149175,25,0,0
astar_chpot,11,81505729,189837356,63,37,64,0,37,0.421602,217764,37,0,0
astar_chpot,12,81505729,189837356,42,24,41,0,24,0.299113,302587,24,0,0
astar_chpot,13,81505729,189837356,106,63,111,0,63,0.193793,408114,63,0,0
astar_chpot,14,81505729,189837356,133,72,133,0,72,0.21479299999999998,1721172,72,0,0
astar_chpot,15,81505729,189837356,271,153,280,0,153,0.460471,3246264,153,0,0
astar_chpot,16,81505729,189837356,272,175,276,0,175,1.291991,5465129,175,0,0
astar_chpot,17,81505729,189837356,355,223,360,0,223,0.875414,7313411,223,0,0
astar_chpot,18,81505729,189837356,1004,578,1030,0,578,1.906121,11001905,578,0,0
astar_chpot,19,81505729,189837356,488569,488569,556046,0,488569,288.720671,NaN,NaN,NaN,NaN
astar_chpot,20,81505729,189837356,488569,488569,556066,0,488569,404.599127,NaN,NaN,NaN,NaN
astar_chpot,21,81505729,189837356,488569,488569,556264,0,488569,418.32597799999996,NaN,NaN,NaN,NaN
astar_chpot,22,81505729,189837356,488569,488569,556078,0,488569,415.32636499999995,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,488569,488569,556078,0,488569,419.924548,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,488569,488569,556078,0,488569,421.67537500000003,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,488569,488569,556036,0,488569,417.677816,NaN,NaN,NaN,NaN
astar_chpot,0,81505729,189837356,2,1,1,0,1,194.494886,0,1,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.290451,26550,2,0,0
astar_chpot,2,81505729,189837356,8,4,7,0,4,0.294224,30375,4,0,0
astar_chpot,3,81505729,189837356,8,4,7,0,4,0.75383,36000,4,0,0
astar_chpot,4,81505729,189837356,18,8,17,0,8,0.764921,42975,8,0,0
astar_chpot,5,81505729,189837356,16,8,15,0,8,0.323917,48375,8,0,0
astar_chpot,6,81505729,189837356,21,10,20,0,10,0.336418,58050,10,0,0
astar_chpot,7,81505729,189837356,29,14,28,0,14,0.326258,71307,14,0,0
astar_chpot,8,81505729,189837356,47,24,47,0,24,0.332038,87600,24,0,0
astar_chpot,9,81505729,189837356,47,23,47,0,23,0.369948,111540,23,0,0
astar_chpot,10,81505729,189837356,71,42,70,0,42,0.355872,140250,42,0,0
astar_chpot,11,81505729,189837356,97,49,96,0,49,0.366048,177600,49,0,0
astar_chpot,12,81505729,189837356,144,78,144,0,78,0.7111860000000001,245813,78,0,0
astar_chpot,13,81505729,189837356,170,88,170,0,88,0.611493,348015,88,0,0
astar_chpot,14,81505729,189837356,275,145,275,0,145,0.529245,460985,144,0,0
astar_chpot,15,81505729,189837356,206,117,208,0,117,0.492935,599397,117,0,0
astar_chpot,16,81505729,189837356,287,172,287,0,172,0.539483,985894,172,0,0
astar_chpot,17,81505729,189837356,385,232,387,0,232,0.867375,1725473,232,0,0
astar_chpot,18,81505729,189837356,479,313,481,0,313,1.5571059999999999,2651520,313,0,0
astar_chpot,19,81505729,189837356,752,484,755,0,484,1.167008,3849702,484,0,0
astar_chpot,20,81505729,189837356,612,436,613,0,436,0.9630879999999999,5301457,436,0,0
astar_chpot,21,81505729,189837356,1405,908,1419,0,908,1.371864,7262542,908,0,0
astar_chpot,22,81505729,189837356,851,669,861,0,669,1.097261,12408220,665,0,0
astar_chpot,23,81505729,189837356,19580476,21088343,22073405,490,6074238,22380.538589,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,19577333,21088293,22074037,489,6074238,21983.581288,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,19584944,21089612,22075732,537,6074238,22192.708811,NaN,NaN,NaN,NaN
astar_chpot,0,81505729,189837356,2,1,1,0,1,1.197287,0,1,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.420305,52200,2,0,0
astar_chpot,2,81505729,189837356,7,3,6,0,3,0.48701,413550,3,0,0
astar_chpot,3,81505729,189837356,7,4,6,0,4,0.428238,470250,4,0,0
astar_chpot,4,81505729,189837356,20,10,19,0,10,0.428485,683532,10,0,0
astar_chpot,5,81505729,189837356,29,14,28,0,14,0.452591,721548,14,0,0
astar_chpot,6,81505729,189837356,43,23,43,0,23,0.44997499999999996,755580,23,0,0
astar_chpot,7,81505729,189837356,52,28,53,0,28,0.447262,798060,28,0,0
astar_chpot,8,81505729,189837356,81,45,81,0,45,0.57033,866345,45,0,0
astar_chpot,9,81505729,189837356,95,54,95,0,54,0.5384260000000001,962116,54,0,0
astar_chpot,10,81505729,189837356,118,78,118,0,78,0.5897209999999999,1060245,78,0,0
astar_chpot,11,81505729,189837356,138,83,138,0,83,0.46856000000000003,1219855,83,0,0
astar_chpot,12,81505729,189837356,192,120,193,0,120,0.608016,1338548,120,0,0
astar_chpot,13,81505729,189837356,241,147,242,0,147,0.927865,1468343,147,0,0
astar_chpot,14,81505729,189837356,140,98,140,0,98,0.5345979999999999,1643794,98,0,0
astar_chpot,15,81505729,189837356,221,151,222,0,151,0.6285120000000001,1928636,151,0,0
astar_chpot,16,81505729,189837356,254,162,256,0,162,1.559353,2199596,162,0,0
astar_chpot,17,81505729,189837356,345,239,347,0,239,1.352186,2521391,239,0,0
astar_chpot,18,81505729,189837356,512,355,515,0,355,1.561997,3065621,355,0,0
astar_chpot,19,81505729,189837356,531,405,538,4,405,0.89663,3917800,405,0,0
astar_chpot,20,81505729,189837356,434,340,435,0,340,1.218169,4977913,340,0,0
astar_chpot,21,81505729,189837356,831,656,834,0,656,1.129304,6522953,656,0,0
astar_chpot,22,81505729,189837356,1246,880,1261,2,880,1.774864,8853417,880,0,0
astar_chpot,23,81505729,189837356,1350,1151,1356,4,1151,1.6914250000000002,12309936,1151,0,0
astar_chpot,24,81505729,189837356,2221,1985,2337,8,1274,1.9672600000000002,20656357,1179,5,1
astar_chpot,25,81505729,189837356,745230,716461,803123,462,696112,825.106534,36196669,2073,5,2
astar_chpot,0,81505729,189837356,4,1,3,0,1,2.2170710000000002,0,1,0,0
astar_chpot,1,81505729,189837356,5,2,4,0,2,1.442916,1440,2,0,0
astar_chpot,2,81505729,189837356,6,3,5,0,3,1.746525,12366,3,0,0
astar_chpot,3,81505729,189837356,6,3,5,0,3,1.488346,45090,3,0,0
astar_chpot,4,81505729,189837356,15,8,14,0,8,1.63918,91908,8,0,0
astar_chpot,5,81505729,189837356,19,10,18,0,10,1.481048,109458,10,0,0
astar_chpot,6,81505729,189837356,24,13,23,0,13,1.769009,141228,13,0,0
astar_chpot,7,81505729,189837356,41,23,40,0,23,1.529327,184824,23,0,0
astar_chpot,8,81505729,189837356,94,47,93,0,47,112.155694,245088,47,0,0
astar_chpot,9,81505729,189837356,111,57,110,0,57,0.35992100000000005,338760,57,0,0
astar_chpot,10,81505729,189837356,129,68,129,0,68,0.505058,437464,68,0,0
astar_chpot,11,81505729,189837356,173,91,173,0,91,0.379608,538410,91,0,0
astar_chpot,12,81505729,189837356,165,87,166,0,87,0.689489,667420,87,0,0
astar_chpot,13,81505729,189837356,284,143,285,0,143,0.940786,940805,143,0,0
astar_chpot,14,81505729,189837356,305,165,307,0,165,0.925054,1362188,165,0,0
astar_chpot,15,81505729,189837356,601,335,605,0,335,1.131791,1808869,335,0,0
astar_chpot,16,81505729,189837356,220,139,220,0,139,0.622093,2440495,139,0,0
astar_chpot,17,81505729,189837356,397,275,396,0,275,1.334055,2930923,275,0,0
astar_chpot,18,81505729,189837356,818,446,823,0,446,0.813946,3592475,446,0,0
astar_chpot,19,81505729,189837356,627,421,628,0,421,1.670662,4838516,421,0,0
astar_chpot,20,81505729,189837356,845,627,848,0,627,1.115274,6909720,627,0,0
astar_chpot,21,81505729,189837356,1049,875,1051,0,875,1.976741,10664612,875,0,0
astar_chpot,22,81505729,189837356,1092,956,1092,0,956,1.434798,15724939,956,0,0
astar_chpot,23,81505729,189837356,5389,3592,5693,2,3063,3.323652,24234925,2315,2,1
astar_chpot,24,81505729,189837356,159518,144116,169052,24,144073,144.687177,33162110,2328,5,1
astar_chpot,25,81505729,189837356,23862888,27829831,30178127,3065,8890480,39162.292958000005,71066964,4637,7,4
astar_chpot,0,81505729,189837356,4,1,3,0,1,0.616355,0,1,0,0
astar_chpot,1,81505729,189837356,6,2,5,0,2,0.39192699999999997,131850,2,0,0
astar_chpot,2,81505729,189837356,8,3,7,0,3,0.391953,200125,3,0,0
astar_chpot,3,81505729,189837356,12,5,11,0,5,0.397042,238313,5,0,0
astar_chpot,4,81505729,189837356,19,9,18,0,9,0.396871,256385,9,0,0
astar_chpot,5,81505729,189837356,27,13,26,0,13,0.40937,275465,13,0,0
astar_chpot,6,81505729,189837356,25,11,24,0,11,0.5459269999999999,311681,11,0,0
astar_chpot,7,81505729,189837356,46,24,45,0,24,0.42178000000000004,346241,24,0,0
astar_chpot,8,81505729,189837356,36,20,36,0,20,0.588432,462895,20,0,0
astar_chpot,9,81505729,189837356,64,37,67,0,37,0.444679,533167,37,0,0
astar_chpot,10,81505729,189837356,92,50,96,0,50,0.455511,635479,50,0,0
astar_chpot,11,81505729,189837356,87,46,87,0,46,0.643393,802792,46,0,0
astar_chpot,12,81505729,189837356,160,84,161,0,84,0.50469,1064237,84,0,0
astar_chpot,13,81505729,189837356,229,132,231,0,132,0.5718150000000001,1480931,132,0,0
astar_chpot,14,81505729,189837356,394,253,401,0,253,0.606241,1847370,253,0,0
astar_chpot,15,81505729,189837356,398,214,402,0,214,0.606957,2360672,214,0,0
astar_chpot,16,81505729,189837356,504,353,509,0,353,0.6963400000000001,2905585,353,0,0
astar_chpot,17,81505729,189837356,586,427,590,0,427,0.873358,3550004,427,0,0
astar_chpot,18,81505729,189837356,721,423,736,0,423,1.3087350000000002,4288744,423,0,0
astar_chpot,19,81505729,189837356,797,587,807,0,587,1.0795649999999999,5435595,587,0,0
astar_chpot,20,81505729,189837356,1183,759,1207,0,759,1.397966,7420142,759,0,0
astar_chpot,21,81505729,189837356,1112,803,1125,0,803,1.629981,9754852,803,0,0
astar_chpot,22,81505729,189837356,1849,1414,1863,0,1414,1.9161670000000002,12821751,1414,0,0
astar_chpot,23,81505729,189837356,14271,11257,14855,4,10936,32.002806,20109366,1415,1,1
astar_chpot,24,81505729,189837356,3128,2650,3159,2,2638,3.816752,26818362,2119,1,1
astar_chpot,25,81505729,189837356,9285,7609,9574,8,7235,7.207001,42040528,2770,5,2
astar_chpot,0,81505729,189837356,4,1,3,0,1,2.331786,0,1,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.617676,174150,2,0,0
astar_chpot,2,81505729,189837356,6,3,5,0,3,0.6129129999999999,177318,3,0,0
astar_chpot,3,81505729,189837356,11,6,10,0,6,0.783056,198927,6,0,0
astar_chpot,4,81505729,189837356,17,9,16,0,9,0.647436,248967,9,0,0
astar_chpot,5,81505729,189837356,32,18,31,0,18,0.6569609999999999,314757,18,0,0
astar_chpot,6,81505729,189837356,31,18,31,0,18,0.9570820000000001,353271,18,0,0
astar_chpot,7,81505729,189837356,45,25,44,0,25,0.651912,379746,25,0,0
astar_chpot,8,81505729,189837356,39,20,38,0,20,0.488016,424487,20,0,0
astar_chpot,9,81505729,189837356,86,50,86,0,50,0.8269249999999999,490399,50,0,0
astar_chpot,10,81505729,189837356,52,30,54,0,30,0.49688499999999997,585783,30,0,0
astar_chpot,11,81505729,189837356,67,35,66,0,35,0.486943,678622,35,0,0
astar_chpot,12,81505729,189837356,143,81,143,0,81,1.033818,753793,81,0,0
astar_chpot,13,81505729,189837356,194,116,194,0,116,0.764638,943829,116,0,0
astar_chpot,14,81505729,189837356,263,168,264,0,168,0.7014900000000001,1474396,168,0,0
astar_chpot,15,81505729,189837356,327,190,330,0,190,0.858411,2003935,190,0,0
astar_chpot,16,81505729,189837356,280,189,281,0,189,0.9940229999999999,2320844,189,0,0
astar_chpot,17,81505729,189837356,362,247,365,0,247,0.755077,3010310,247,0,0
astar_chpot,18,81505729,189837356,681,450,685,0,450,1.4037469999999999,4139272,450,0,0
astar_chpot,19,81505729,189837356,695,440,706,0,440,1.121404,5513763,440,0,0
astar_chpot,20,81505729,189837356,509,399,510,0,399,0.8745689999999999,7085581,399,0,0
astar_chpot,21,81505729,189837356,813,641,824,1,641,1.182582,8828487,641,0,0
astar_chpot,22,81505729,189837356,1458,1187,1479,1,1187,1.7135989999999999,11396900,1187,0,0
astar_chpot,23,81505729,189837356,1270,1035,1277,0,1035,1.8700100000000002,15239784,1035,0,0
astar_chpot,24,81505729,189837356,4468,3911,4591,14,2951,3.3032529999999998,23090774,1694,1,1
astar_chpot,25,81505729,189837356,1771873,1977775,2223584,257,808857,2205.030243,41264931,1393,3,2
astar_chpot,0,81505729,189837356,2,1,1,0,1,2.4984669999999998,0,1,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,1.259962,15552,2,0,0
astar_chpot,2,81505729,189837356,6,3,5,0,3,1.31549,21744,3,0,0
astar_chpot,3,81505729,189837356,8,4,7,0,4,1.3017750000000001,28800,4,0,0
astar_chpot,4,81505729,189837356,18,9,17,0,9,132.62284799999998,51984,9,0,0
astar_chpot,5,81505729,189837356,20,10,19,0,10,0.453523,93600,10,0,0
astar_chpot,6,81505729,189837356,40,20,39,0,20,0.1624,137088,20,0,0
astar_chpot,7,81505729,189837356,51,27,51,0,27,0.14361500000000002,188595,27,0,0
astar_chpot,8,81505729,189837356,59,31,58,0,31,0.15182400000000001,233136,31,0,0
