rel_core_size,abs_core_size,construction_time_ms,time_ms
0.05,4075286,277823.177,19.684811
0.05,4075286,277823.177,9.552066
0.05,4075286,277823.177,7.202813000000001
0.05,4075286,277823.177,7.637434
0.05,4075286,277823.177,8.758352
0.05,4075286,277823.177,5.524242
0.05,4075286,277823.177,9.870605
0.05,4075286,277823.177,7.185066
0.05,4075286,277823.177,6.5327779999999995
0.05,4075286,277823.177,3.816493
0.05,4075286,277823.177,3.61646
0.05,4075286,277823.177,2.720325
0.05,4075286,277823.177,7.1621760000000005
0.05,4075286,277823.177,5.776116
0.05,4075286,277823.177,5.170994
0.05,4075286,277823.177,6.2514389999999995
0.05,4075286,277823.177,5.374557
0.05,4075286,277823.177,6.726000999999999
0.05,4075286,277823.177,2.490277
0.05,4075286,277823.177,5.161735
0.05,4075286,277823.177,2.953565
0.05,4075286,277823.177,4.3974720000000005
0.05,4075286,277823.177,3.204279
0.05,4075286,277823.177,3.890054
0.05,4075286,277823.177,3.644625
0.05,4075286,277823.177,6.2447040000000005
0.05,4075286,277823.177,4.8627319999999985
0.05,4075286,277823.177,2.661476
0.05,4075286,277823.177,5.906483000000001
0.05,4075286,277823.177,4.0978959999999995
0.05,4075286,277823.177,3.1636919999999997
0.05,4075286,277823.177,5.015225
0.05,4075286,277823.177,4.748804
0.05,4075286,277823.177,4.482126
0.05,4075286,277823.177,2.893907
0.05,4075286,277823.177,2.131554
0.05,4075286,277823.177,4.3086400000000005
0.05,4075286,277823.177,3.082423
0.05,4075286,277823.177,4.107544
0.05,4075286,277823.177,6.084455
0.05,4075286,277823.177,2.752207
0.05,4075286,277823.177,4.6783579999999985
0.05,4075286,277823.177,4.334531
0.05,4075286,277823.177,4.5341260000000005
0.05,4075286,277823.177,4.9254620000000005
0.05,4075286,277823.177,6.9592979999999995
0.05,4075286,277823.177,2.193689
0.05,4075286,277823.177,3.7705269999999995
0.05,4075286,277823.177,3.4254910000000005
0.05,4075286,277823.177,3.4130000000000003
0.05,4075286,277823.177,3.5668660000000005
0.05,4075286,277823.177,5.597994
0.05,4075286,277823.177,2.970264
0.05,4075286,277823.177,4.526682
0.05,4075286,277823.177,5.405067000000002
0.05,4075286,277823.177,2.987925
0.05,4075286,277823.177,4.160526
0.05,4075286,277823.177,3.4555910000000005
0.05,4075286,277823.177,4.305165000000001
0.05,4075286,277823.177,3.13465
0.05,4075286,277823.177,4.617430000000001
0.05,4075286,277823.177,2.982289
0.05,4075286,277823.177,4.238385
0.05,4075286,277823.177,2.3799509999999997
0.05,4075286,277823.177,2.094693
0.05,4075286,277823.177,3.5611099999999998
0.05,4075286,277823.177,2.866705
0.05,4075286,277823.177,4.8888370000000005
0.05,4075286,277823.177,2.262527
0.05,4075286,277823.177,3.462771
0.05,4075286,277823.177,3.022138
0.05,4075286,277823.177,4.5940470000000015
0.05,4075286,277823.177,3.8973089999999995
0.05,4075286,277823.177,2.942924
0.05,4075286,277823.177,2.52665
0.05,4075286,277823.177,2.970437
0.05,4075286,277823.177,3.081114
0.05,4075286,277823.177,3.0459110000000003
0.05,4075286,277823.177,2.6071400000000002
0.05,4075286,277823.177,3.954775
0.05,4075286,277823.177,2.028203
0.05,4075286,277823.177,1.948659
0.05,4075286,277823.177,3.329187
0.05,4075286,277823.177,3.2706340000000003
0.05,4075286,277823.177,2.50599
0.05,4075286,277823.177,3.803557
0.05,4075286,277823.177,4.434815
0.05,4075286,277823.177,2.7648610000000002
0.05,4075286,277823.177,4.4100589999999995
0.05,4075286,277823.177,2.7765720000000003
0.05,4075286,277823.177,2.391208
0.05,4075286,277823.177,3.1252340000000003
0.05,4075286,277823.177,3.2319750000000003
0.05,4075286,277823.177,3.165355
0.05,4075286,277823.177,4.727317
0.05,4075286,277823.177,3.069905
0.05,4075286,277823.177,2.4847069999999998
0.05,4075286,277823.177,4.924047
0.05,4075286,277823.177,1.848252
0.05,4075286,277823.177,3.351606
0.05,4075286,277823.177,2.306353
0.05,4075286,277823.177,4.537535
0.05,4075286,277823.177,3.1162780000000003
0.05,4075286,277823.177,5.122302
0.05,4075286,277823.177,2.621586
0.05,4075286,277823.177,2.882079
0.05,4075286,277823.177,3.2660669999999996
0.05,4075286,277823.177,4.3246129999999985
0.05,4075286,277823.177,2.969913
0.05,4075286,277823.177,3.5977690000000004
0.05,4075286,277823.177,2.9994490000000003
0.05,4075286,277823.177,1.453412
0.05,4075286,277823.177,2.104801
0.05,4075286,277823.177,2.703066
0.05,4075286,277823.177,2.217944
0.05,4075286,277823.177,2.8211690000000003
0.05,4075286,277823.177,2.0030400000000004
0.05,4075286,277823.177,3.083532
0.05,4075286,277823.177,1.637845
0.05,4075286,277823.177,2.030822
0.05,4075286,277823.177,1.8499330000000003
0.05,4075286,277823.177,3.710039
0.05,4075286,277823.177,3.055412
0.05,4075286,277823.177,2.87611
0.05,4075286,277823.177,3.3037870000000003
0.05,4075286,277823.177,1.617046
0.05,4075286,277823.177,2.720546
0.05,4075286,277823.177,3.106991
0.05,4075286,277823.177,2.472146
0.05,4075286,277823.177,1.705431
0.05,4075286,277823.177,2.2290099999999997
0.05,4075286,277823.177,2.2316689999999997
0.05,4075286,277823.177,2.034491
0.05,4075286,277823.177,2.9684440000000003
0.05,4075286,277823.177,1.8366169999999997
0.05,4075286,277823.177,4.203018
0.05,4075286,277823.177,1.876828
0.05,4075286,277823.177,2.9224189999999997
0.05,4075286,277823.177,1.971671
0.05,4075286,277823.177,2.858115
0.05,4075286,277823.177,2.7903830000000003
0.05,4075286,277823.177,2.4318310000000003
0.05,4075286,277823.177,1.9441970000000002
0.05,4075286,277823.177,2.845591
0.05,4075286,277823.177,2.612174
0.05,4075286,277823.177,2.2843139999999997
0.05,4075286,277823.177,3.4397290000000003
0.05,4075286,277823.177,3.329428
0.05,4075286,277823.177,2.411173
0.05,4075286,277823.177,3.532161
0.05,4075286,277823.177,3.3093169999999996
0.05,4075286,277823.177,3.379569
0.05,4075286,277823.177,2.3499659999999998
0.05,4075286,277823.177,2.022654
0.05,4075286,277823.177,1.957592
0.05,4075286,277823.177,2.821764
0.05,4075286,277823.177,1.720239
0.05,4075286,277823.177,2.523527
0.05,4075286,277823.177,2.1403689999999997
0.05,4075286,277823.177,2.5907690000000003
0.05,4075286,277823.177,2.614435
0.05,4075286,277823.177,2.1781099999999998
0.05,4075286,277823.177,3.495307
0.05,4075286,277823.177,2.1372259999999996
0.05,4075286,277823.177,3.676361
0.05,4075286,277823.177,2.161696
0.05,4075286,277823.177,2.490201
0.05,4075286,277823.177,2.026279
0.05,4075286,277823.177,2.5191760000000003
0.05,4075286,277823.177,1.9999940000000005
0.05,4075286,277823.177,2.170582
0.05,4075286,277823.177,2.285682
0.05,4075286,277823.177,1.958633
0.05,4075286,277823.177,2.938536
0.05,4075286,277823.177,2.956602
0.05,4075286,277823.177,3.017118
0.05,4075286,277823.177,3.31807
0.05,4075286,277823.177,2.964301
0.05,4075286,277823.177,3.0698990000000004
0.05,4075286,277823.177,2.224991
0.05,4075286,277823.177,1.8718290000000002
0.05,4075286,277823.177,2.526764
0.05,4075286,277823.177,2.690483
0.05,4075286,277823.177,2.625697
0.05,4075286,277823.177,2.345872
0.05,4075286,277823.177,1.77965
0.05,4075286,277823.177,2.156294
0.05,4075286,277823.177,2.321088
0.05,4075286,277823.177,2.589643
0.05,4075286,277823.177,2.3946280000000004
0.05,4075286,277823.177,2.610703
0.05,4075286,277823.177,1.933516
0.05,4075286,277823.177,2.311144
0.05,4075286,277823.177,2.715358
0.05,4075286,277823.177,3.901318
0.05,4075286,277823.177,2.887595
0.05,4075286,277823.177,2.911778
0.05,4075286,277823.177,2.207488
0.05,4075286,277823.177,2.187863
0.05,4075286,277823.177,2.219962
0.05,4075286,277823.177,2.229937
0.05,4075286,277823.177,2.465739
0.05,4075286,277823.177,1.865016
0.05,4075286,277823.177,1.657621
0.05,4075286,277823.177,3.141963
0.05,4075286,277823.177,2.592943
0.05,4075286,277823.177,2.976191
0.05,4075286,277823.177,2.1859490000000004
0.05,4075286,277823.177,2.279879
0.05,4075286,277823.177,1.9092669999999998
0.05,4075286,277823.177,2.989065
0.05,4075286,277823.177,2.367599
0.05,4075286,277823.177,2.774849
0.05,4075286,277823.177,2.0389939999999998
0.05,4075286,277823.177,1.92274
0.05,4075286,277823.177,1.733985
0.05,4075286,277823.177,1.9087610000000002
0.05,4075286,277823.177,1.918228
0.05,4075286,277823.177,2.838486
0.05,4075286,277823.177,2.5297419999999997
0.05,4075286,277823.177,2.2933440000000003
0.05,4075286,277823.177,2.749461
0.05,4075286,277823.177,1.9553189999999998
0.05,4075286,277823.177,2.2443060000000004
0.05,4075286,277823.177,1.8867919999999998
0.05,4075286,277823.177,3.009657
0.05,4075286,277823.177,2.818926
0.05,4075286,277823.177,2.29083
0.05,4075286,277823.177,1.948638
0.05,4075286,277823.177,2.5882490000000002
0.05,4075286,277823.177,2.145175
0.05,4075286,277823.177,2.7158070000000003
0.05,4075286,277823.177,3.0032400000000004
0.05,4075286,277823.177,1.5554130000000002
0.05,4075286,277823.177,1.90865
0.05,4075286,277823.177,2.437732
0.05,4075286,277823.177,2.567709
0.05,4075286,277823.177,2.911327
0.05,4075286,277823.177,2.248345
